description,category
fruits at dominos,Food
tv bill,Others
toeic for data science,Study
com tam at supermarket,Food
boba tea at street food,Food
mortgage bill,Others
new shoes shopping,Shopping
new charger shopping,Shopping
plane fare to office,Transport
flight fare to home,Transport
training for coding,Study
gre study guide,Study
charging for grab,Transport
pepsi at gong cha,Food
flight toll,Transport
cocktail at lotte,Food
metro ride to station,Transport
drank soda meeting,Food
adobe creative cloud student,Study
textbook for design,Study
bus wash,Transport
phone bill,Others
music printing,Study
zoo ticket,Others
mobile bill,Others
bill for noodles with family,Food
fuel for taxi,Transport
bought laptop from nike,Shopping
data science photocopy,Study
new socks shopping,Shopping
ate soda for lunch,Food
yogurt at dominos,Food
bought razor from zara,Shopping
newspaper subscription,Others
novel for marketing,Study
cold brew at pizza hut,Food
bought glasses from store,Shopping
gojek wash,Transport
bun cha at kfc,Food
office 365 subscription,Others
oil for plane,Transport
wifi bill,Others
beer at street food,Food
bought training,Study
pencil for marketing,Study
show ticket,Others
banh mi at supermarket,Food
hospital fee,Others
ordered cake with friends,Food
new cologne shopping,Shopping
marketing subscription,Study
gym subscription,Others
cab booking trip,Transport
yogurt at cafe,Food
bought hoodie from store,Shopping
bill for muffin alone,Food
new scarf shopping,Shopping
enjoyed muffin date,Food
game ticket,Others
bought purse from nike,Shopping
sedan cleaning,Transport
cocktail at food court,Food
spotify subscription,Others
apple music subscription,Others
metro ticket to office,Transport
cleaning fee,Others
plane rental to mall,Transport
magazine for coding,Study
muffin at the coffee house,Food
bought charger from lazada,Shopping
ordered pasta for dinner,Food
bill for smoothie takeout,Food
new socks shopping,Shopping
cab service,Transport
internet bill,Others
paid for seafood takeout,Food
bought dictionary,Study
ate bun bo hue for dinner,Food
gas for flight,Transport
scooter parking,Transport
airline trip to home,Transport
car tire change,Transport
parking fee,Transport
bought lesson,Study
phone bill,Others
magazine for english,Study
cinema ticket,Others
rent bill,Others
cable bill,Others
udon at burger king,Food
seafood at ministop,Food
whisky at winmart,Food
new shirt shopping,Shopping
mechanical keyboard for gaming,Shopping
commuter train monthly ticket,Transport
clothes for summer,Shopping
bought speaker from lazada,Shopping
train ticket trip,Transport
programming test fee,Study
notebook for science,Study
bill for xoi takeout,Food
bought comic,Study
spotify subscription,Others
bought eraser,Study
new lotion shopping,Shopping
textbook for art,Study
ordered coffee date,Food
youtube subscription,Others
pencil for english,Study
steak at highlands,Food
mai linh trip to work,Transport
new glasses shopping,Shopping
be rental to downtown,Transport
bought lesson,Study
petrol for subway,Transport
cinema ticket,Others
pasta at kfc,Food
new heels shopping,Shopping
fitness subscription,Others
class for english,Study
netflix subscription,Others
subway ticket to station,Transport
gas for vinasun,Transport
bought training,Study
park ticket,Others
metro tire change,Transport
icloud subscription,Others
wifi bill,Others
bought pen from shop,Shopping
suv toll,Transport
noodles at food court,Food
drank whisky alone,Food
theater ticket,Others
theater ticket,Others
hospital fee,Others
fuel for motorbike,Transport
cab service,Transport
ordered donut party,Food
ordered soju for lunch,Food
fitness subscription,Others
winter coat and scarf,Shopping
enjoyed dim sum meeting,Food
bought datacamp,Study
bill for fried chicken meeting,Food
had kimbap for lunch,Food
bought sunglasses from supermarket,Shopping
bought whisky party,Food
be rental to airport,Transport
python tuition,Study
bought training,Study
newspaper subscription,Others
meat at 7-eleven,Food
notebook for design,Study
textbook for coding,Study
motorbike repair,Transport
magazine for math,Study
bought calculator,Study
swimwear for vacation,Shopping
science test fee,Study
enjoyed milk for dinner,Food
wifi internet monthly bill,Others
subway tire change,Transport
bought game from market,Shopping
subway ride trip,Transport
plane cleaning,Transport
bought perfume from uniqlo,Shopping
petrol for flight,Transport
electrical bill,Others
vinasun cleaning,Transport
oil for metro,Transport
bought trousers from gucci,Shopping
metro repair,Transport
airline trip to airport,Transport
gojek parking,Transport
oil for flight,Transport
ate pizza for dinner,Food
grab trip to station,Transport
design exam fee,Study
spa fee,Others
cinema ticket,Others
bought power bank from zara,Shopping
fitness subscription,Others
americano at dominos,Food
internet bill,Others
new blouse shopping,Shopping
bought sunglasses from zara,Shopping
broken screen repair,Others
bus cleaning,Transport
grab oil change,Transport
journal for design,Study
ice cream pint from grocery,Food
spotify family plan,Others
drank muffin meeting,Food
math photocopy,Study
programming certification fee,Study
phone bill,Others
plane toll,Transport
new beanie shopping,Shopping
ticket ticket,Others
bought cologne from market,Shopping
ramen at gong cha,Food
bought eraser,Study
bought keyboard from store,Shopping
new sweater shopping,Shopping
gas bill,Others
loan bill,Others
pizza at circle k,Food
bought cream from zara,Shopping
medicine fee,Others
scooter fare to school,Transport
sashimi at cafe,Food
new coat shopping,Shopping
pizza at highlands,Food
ice cream at eatery,Food
metro wash,Transport
vinasun ticket to office,Transport
bought sandals from chanel,Shopping
drank banh cuon with friends,Food
bought cable from supermarket,Shopping
train repair,Transport
bought toefl,Study
new charger shopping,Shopping
new jacket shopping,Shopping
concert ticket,Others
bought game from amazon,Shopping
bun bo hue at street food,Food
bought lesson,Study
charging for motorbike,Transport
bought glasses from chanel,Shopping
scooter repair,Transport
magazine subscription,Others
karaoke ticket,Others
motorbike booking to home,Transport
cab maintenance,Transport
new glasses shopping,Shopping
sedan service,Transport
new vest shopping,Shopping
suv service,Transport
new earrings shopping,Shopping
drank fruits with family,Food
motorbike oil change,Transport
bought makeup from market,Shopping
metro ticket to office,Transport
calculator for programming,Study
data science subscription,Study
bought cable from market,Shopping
ruler for art,Study
netflix subscription,Others
gojek trip to station,Transport
subway oil change,Transport
internet bill,Others
new boots shopping,Shopping
gas bill,Others
bus service,Transport
adobe subscription,Others
charging for motorbike,Transport
bought shirt from shop,Shopping
maintenance fee,Others
bought class,Study
design tuition,Study
math subscription,Study
bought suit from adidas,Shopping
car repair,Transport
new paper shopping,Shopping
google drive subscription,Others
match ticket,Others
paid for wine for dinner,Food
gojek rental trip,Transport
bought skirt from supermarket,Shopping
bought phone from zara,Shopping
oil for grab,Transport
coding test fee,Study
google drive subscription,Others
repair fee,Others
latte at winmart,Food
coding tuition,Study
music photocopy,Study
bought earrings from mall,Shopping
bought mouse from amazon,Shopping
metro fare to office,Transport
bought magazine,Study
ice cream at ministop,Food
flight tire change,Transport
oil for car,Transport
new coat shopping,Shopping
new sweater shopping,Shopping
adobe subscription,Others
gas bill,Others
bought perfume from lazada,Shopping
scooter journey to station,Transport
taxi booking to office,Transport
subway cleaning,Transport
english membership,Study
bought cookie for dinner,Food
milk tea at the coffee house,Food
loan bill,Others
hospital fee,Others
car insurance premium,Transport
train tire change,Transport
fitness subscription,Others
car service,Transport
cappuccino at convenience store,Food
wine at highlands,Food
bought toy from chanel,Shopping
english membership,Study
bought lesson,Study
bought cologne from shop,Shopping
ate com tam alone,Food
new backpack shopping,Shopping
new watch shopping,Shopping
science certification fee,Study
bike fare to downtown,Transport
stationery and notebooks,Study
bought coat from chanel,Shopping
vinasun ride trip,Transport
new bag shopping,Shopping
bought soap from h&m,Shopping
airline ticket to downtown,Transport
diesel for plane,Transport
suv tire change,Transport
ebook from amazon kindle,Study
bought trousers from shopee,Shopping
oil for subway,Transport
new laptop shopping,Shopping
data science exam fee,Study
mai linh journey to airport,Transport
bought marker,Study
datacamp for art,Study
dim sum at eatery,Food
train trip to school,Transport
scooter ticket to school,Transport
bought shorts from nike,Shopping
train tire change,Transport
charging for mai linh,Transport
fuel for motorbike,Transport
bought hoodie from mall,Shopping
train repair,Transport
grab journey to mall,Transport
bread at gong cha,Food
oil for motorbike,Transport
new watch shopping,Shopping
icloud subscription,Others
coding photocopy,Study
manicure fee,Others
enjoyed pasta delivery,Food
oil for subway,Transport
enjoyed bun bo hue date,Food
cocktail at lotte,Food
bought body wash from store,Shopping
bought cream from shop,Shopping
ordered smoothie takeout,Food
hospital fee,Others
duolingo for english,Study
karaoke ticket,Others
drank hu tieu with friends,Food
bought luggage from nike,Shopping
bought phone from zara,Shopping
marketing subscription,Study
plane trip to school,Transport
noodles at food court,Food
new purse shopping,Shopping
google drive subscription,Others
had ice cream with family,Food
bill for tempura meeting,Food
paid for bread with friends,Food
banh cuon at the coffee house,Food
karaoke ticket,Others
cable bill,Others
suv ride to school,Transport
vet checkup for cat,Others
internet bill,Others
bought heels from amazon,Shopping
ielts for science,Study
bought skirt from mall,Shopping
bought noodles date,Food
planner for music,Study
new necklace shopping,Shopping
pharmacy fee,Others
new suit shopping,Shopping
bought conditioner from market,Shopping
drank bun bo hue party,Food
new lipstick shopping,Shopping
new smartphone shopping,Shopping
tax bill,Others
new purse shopping,Shopping
design exam fee,Study
newspaper subscription,Others
americano at starbucks,Food
pen for programming,Study
duolingo for design,Study
subway fare to station,Transport
cab tire change,Transport
muffin at mcdonalds,Food
class for business,Study
ordered macchiato date,Food
motorbike journey to downtown,Transport
bought duolingo,Study
diesel for cab,Transport
pharmacy fee,Others
ordered cake for breakfast,Food
google drive subscription,Others
cookie at highlands,Food
bought suit from shopee,Shopping
ate bread snack,Food
webinar for science,Study
diesel for car,Transport
paid for latte takeout,Food
newspaper subscription,Others
ordered fried chicken alone,Food
ate yogurt date,Food
music school fee,Study
music photocopy,Study
milk tea at restaurant,Food
hospital fee,Others
scooter ride to station,Transport
bought power bank from shopee,Shopping
bought americano delivery,Food
netflix subscription,Others
new earrings shopping,Shopping
uber ride to home,Transport
adobe subscription,Others
ate kimbap for dinner,Food
python school fee,Study
design photocopy,Study
business tuition,Study
bought coat from tiki,Shopping
haircut fee,Others
bought laptop from gucci,Shopping
gym subscription,Others
bought gift from mall,Shopping
bike parking,Transport
cab oil change,Transport
gas for scooter,Transport
mobile bill,Others
vinasun wash,Transport
train repair,Transport
drank smoothie alone,Food
bought hu tieu for lunch,Food
new boots shopping,Shopping
bought toeic,Study
cinema ticket,Others
bought calculator,Study
loan bill,Others
bought socks from mall,Shopping
bought pencil,Study
tutoring session for math,Study
plane tire change,Transport
paid for kimbap for dinner,Food
taxi ticket to station,Transport
diesel for grab,Transport
dumplings at burger king,Food
newspaper subscription,Others
cleaning fee,Others
cable bill,Others
new earrings shopping,Shopping
bought toy from h&m,Shopping
novel for coding,Study
bibimbap at gong cha,Food
new coat shopping,Shopping
book for science,Study
fuel for uber,Transport
google drive subscription,Others
bought bag from gucci,Shopping
data science exam fee,Study
highlighter for coding,Study
espresso at convenience store,Food
google drive subscription,Others
yoga subscription,Others
charging for sedan,Transport
bike cleaning,Transport
duolingo for programming,Study
steak at winmart,Food
ev charging station fee,Transport
metro fare to mall,Transport
plane repair,Transport
yoga subscription,Others
science exam fee,Study
enjoyed milk tea for breakfast,Food
new heels shopping,Shopping
paid for seafood for dinner,Food
bought cologne from zara,Shopping
bought datacamp,Study
new blazer shopping,Shopping
grab maintenance,Transport
subway trip to mall,Transport
bought charger from gucci,Shopping
bought power bank from chanel,Shopping
new book shopping,Shopping
billiards ticket,Others
museum ticket,Others
new shampoo shopping,Shopping
new sandals shopping,Shopping
internet bill,Others
grab booking to work,Transport
mobile bill,Others
new shirt shopping,Shopping
yoga subscription,Others
show ticket,Others
fitness subscription,Others
gas bill,Others
gas for flight,Transport
bought purse from chanel,Shopping
dentist fee,Others
cinema ticket,Others
home decor and plants,Shopping
bill for cocktail for breakfast,Food
bought cream from zara,Shopping
wine at convenience store,Food
bought ielts,Study
new boots shopping,Shopping
rent bill,Others
plane tire change,Transport
metro trip to station,Transport
art test fee,Study
dumplings at food court,Food
new sneakers,Shopping
com tam at jollibee,Food
bought coursera,Study
bought headphones from lazada,Shopping
bought banh mi delivery,Food
new book shopping,Shopping
drank yogurt snack,Food
fuel for suv,Transport
laundry fee,Others
concert ticket,Others
car parking,Transport
fuel for bike,Transport
bought magazine,Study
enjoyed cocktail date,Food
coding school fee,Study
car repair,Transport
buffet lunch at hotel,Food
gas for car,Transport
petrol for plane,Transport
youtube subscription,Others
ordered espresso with friends,Food
bought suit from gucci,Shopping
chipotle burrito bowl,Food
bike rental to school,Transport
drank vegetables delivery,Food
new watch shopping,Shopping
vinasun booking to work,Transport
be wash,Transport
scooter rental trip,Transport
airline ticket trip,Transport
rice at restaurant,Food
tax bill,Others
enjoyed vodka for breakfast,Food
newspaper subscription,Others
fuel for flight,Transport
plane booking to station,Transport
pedicure fee,Others
new power bank shopping,Shopping
bought face wash from zara,Shopping
bought whisky alone,Food
gas for subway,Transport
vinasun cleaning,Transport
spotify subscription,Others
bought perfume from adidas,Shopping
mai linh journey to downtown,Transport
pedicure fee,Others
hair dryer and styler,Shopping
mai linh booking trip,Transport
had dim sum meeting,Food
repair fee,Others
insurance bill,Others
movie ticket,Others
bought pen,Study
haircut fee,Others
training for music,Study
new watch shopping,Shopping
plane fare to office,Transport
gas for bike,Transport
spa fee,Others
ordered latte with friends,Food
bought charger from supermarket,Shopping
bought soap from nike,Shopping
sedan rental to station,Transport
new jacket shopping,Shopping
bought toeic,Study
bought edx,Study
plane toll,Transport
vodka at diner,Food
bought coke alone,Food
bought toeic,Study
diary for english,Study
marketing membership,Study
loan bill,Others
hospital fee,Others
toefl for marketing,Study
uber journey to work,Transport
drank boba tea snack,Food
gojek booking to station,Transport
enjoyed com tam for dinner,Food
bought cream from store,Shopping
train ticket to station,Transport
fresh fruit and yogurt,Food
bought belt from gucci,Shopping
notebook for programming,Study
cake at mcdonalds,Food
train journey to station,Transport
paid for sushi for breakfast,Food
marketing printing,Study
bought ielts,Study
enjoyed coffee alone,Food
plane rental to home,Transport
bought blouse from tiki,Shopping
new paper shopping,Shopping
new blazer shopping,Shopping
haircut fee,Others
bought game from uniqlo,Shopping
bought sushi snack,Food
bought calculator,Study
training for science,Study
boba tea at jollibee,Food
karaoke ticket,Others
bought power bank from market,Shopping
salon fee,Others
mai linh ride to airport,Transport
notepads and sticky notes,Study
had noodles meeting,Food
car maintenance,Transport
ate bibimbap for breakfast,Food
gojek journey to downtown,Transport
motorbike cleaning,Transport
taxi fare,Transport
enjoyed milk snack,Food
new hoodie shopping,Shopping
petrol for uber,Transport
textbook for art,Study
highlighter for coding,Study
fish at bistro,Food
whisky at lotte,Food
train fare trip,Transport
bus journey to work,Transport
ate juice date,Food
com tam at jollibee,Food
metro fare to airport,Transport
doctor fee,Others
new cable shopping,Shopping
mai linh fare to work,Transport
dictionary for music,Study
internet bill,Others
new notebook shopping,Shopping
programming printing,Study
charging for sedan,Transport
new speaker shopping,Shopping
diesel for motorbike,Transport
bought sushi for dinner,Food
ate cake with family,Food
fuel for car,Transport
diesel for motorbike,Transport
gojek repair,Transport
google drive subscription,Others
bought skirt from store,Shopping
bought cream from h&m,Shopping
bought perfume from adidas,Shopping
protein shake post workout,Food
bill for soda date,Food
coursera for english,Study
gym subscription,Others
internet bill,Others
grab fare to mall,Transport
new cable shopping,Shopping
new luggage shopping,Shopping
insurance bill,Others
yogurt at jollibee,Food
bought earphones from nike,Shopping
alignment service for car,Transport
bike oil change,Transport
gym subscription,Others
new sunglasses shopping,Shopping
bought edx,Study
gym subscription,Others
gojek booking to office,Transport
office 365 subscription,Others
drank sushi party,Food
bought eraser,Study
netflix subscription,Others
spotify subscription,Others
flight ride to work,Transport
internet bill,Others
new luggage shopping,Shopping
sunglasses for beach trip,Shopping
oil for metro,Transport
soda at mcdonalds,Food
theater ticket,Others
bought slippers from h&m,Shopping
programming membership,Study
car trip to airport,Transport
utility bill electricity,Others
magazine subscription,Others
bike toll,Transport
new bracelet shopping,Shopping
wifi bill,Others
bought headphones from uniqlo,Shopping
training for science,Study
ordered americano takeout,Food
had milk for dinner,Food
bought fruits party,Food
bought marker,Study
journal for english,Study
petrol for grab,Transport
oil for cab,Transport
dumplings at texas chicken,Food
google drive subscription,Others
bun cha at pizza hut,Food
parking fee at the mall,Transport
bought workshop,Study
new phone shopping,Shopping
mai linh journey to office,Transport
google drive subscription,Others
bought ruler,Study
had kimbap party,Food
latte at circle k,Food
new socks shopping,Shopping
new paper shopping,Shopping
bought planner,Study
water bill,Others
science photocopy,Study
bought necklace from nike,Shopping
bought shampoo from uniqlo,Shopping
wifi bill,Others
new shirt shopping,Shopping
petrol for be,Transport
bought face wash from adidas,Shopping
oil for bus,Transport
muffin at ministop,Food
loan bill,Others
bought edx,Study
bus ticket to the city,Transport
flight repair,Transport
festival ticket,Others
datacamp for coding,Study
paid for bagel date,Food
eraser for design,Study
paid for vegetables party,Food
be repair,Transport
bought planner,Study
gas for uber,Transport
music subscription,Study
bought dictionary,Study
spotify subscription,Others
bun bo hue at ministop,Food
charging for flight,Transport
bought mouse from shopee,Shopping
ticket ticket,Others
science test fee,Study
cleaning fee,Others
new lotion shopping,Shopping
rent bill,Others
spotify subscription,Others
maintenance fee,Others
bought case from supermarket,Shopping
ate cold brew delivery,Food
bought razor from zara,Shopping
festival ticket,Others
diesel for subway,Transport
icloud subscription,Others
bought t-shirt from zara,Shopping
bought charger from h&m,Shopping
thesis binding service,Study
bought pizza meeting,Food
bridge toll payment,Transport
highlighter for english,Study
youtube subscription,Others
newspaper subscription,Others
car oil change,Transport
fuel for sedan,Transport
edx for music,Study
bought t-shirt from lazada,Shopping
training for coding,Study
cleaning fee,Others
youtube subscription,Others
icloud subscription,Others
bought webinar,Study
bought game from market,Shopping
bill for sashimi with friends,Food
museum ticket,Others
apple music subscription,Others
bought magazine,Study
bought heels from store,Shopping
new backpack shopping,Shopping
new shampoo shopping,Shopping
bought dress from zara,Shopping
suv booking to work,Transport
wine at lotte,Food
webinar for english,Study
bun cha at mcdonalds,Food
bought seminar,Study
park ticket,Others
new backpack shopping,Shopping
udemy for english,Study
datacamp for design,Study
coursera for english,Study
boba tea at pizza hut,Food
water bill,Others
uber rental to downtown,Transport
seafood at supermarket,Food
drank beer snack,Food
coding subscription,Study
programming school fee,Study
gas bill,Others
airline journey to work,Transport
airline trip to mall,Transport
udemy for business,Study
oil for metro,Transport
drank pepsi meeting,Food
yoga subscription,Others
dentist fee,Others
bought workshop,Study
coffee at subway,Food
americano at burger king,Food
bought mouse from store,Shopping
notebook for data science,Study
dentist fee,Others
charging for airline,Transport
spotify subscription,Others
cleaning fee,Others
yoga subscription,Others
notion premium for students,Study
paid for cold brew snack,Food
new lipstick shopping,Shopping
karaoke ticket,Others
bun bo hue at jollibee,Food
bought book,Study
new cap shopping,Shopping
cable bill,Others
bought pen,Study
new monitor shopping,Shopping
ate eggs with family,Food
bought perfume from supermarket,Shopping
office 365 subscription,Others
parking permit for residence,Transport
new deodorant shopping,Shopping
cable bill,Others
taxi ticket to office,Transport
boba tea at dominos,Food
apple music subscription,Others
bought gift from nike,Shopping
new laptop shopping,Shopping
gym membership fee,Others
netflix subscription,Others
ate cake snack,Food
bought deodorant from h&m,Shopping
masterclass subscription,Study
latte at subway,Food
bought tie from uniqlo,Shopping
event ticket,Others
newspaper subscription,Others
had tempura for dinner,Food
workshop for marketing,Study
bill for bun cha party,Food
noodles at 7-eleven,Food
gas bill,Others
bought bracelet from gucci,Shopping
science tuition,Study
loan bill,Others
bought eraser,Study
uber booking to airport,Transport
flight ticket booking fee,Transport
bought keyboard from zara,Shopping
icloud subscription,Others
loan bill,Others
wifi bill,Others
dinner at restaurant,Food
charging for scooter,Transport
bought planner,Study
spotify subscription,Others
gasoline for my sedan,Transport
latte at family mart,Food
calculator for english,Study
bought burger meeting,Food
cappuccino and croissant,Food
datacamp for math,Study
marker for art,Study
gojek journey to airport,Transport
dictionary for data science,Study
ate steak with friends,Food
had meat for lunch,Food
new cream shopping,Shopping
mai linh fare to mall,Transport
netflix subscription,Others
taxi service,Transport
oil for train,Transport
medicine fee,Others
metro rental to station,Transport
gojek cleaning,Transport
mobile bill,Others
apple music subscription,Others
car rental to station,Transport
petrol for plane,Transport
paid for pho takeout,Food
pharmacy fee,Others
grab journey to station,Transport
croissant at dominos,Food
vinasun journey to home,Transport
karaoke ticket,Others
bought edx,Study
new charger shopping,Shopping
bought meat for lunch,Food
art test fee,Study
new blouse shopping,Shopping
flight journey to downtown,Transport
dim sum at street food,Food
newspaper subscription,Others
had boba tea alone,Food
bill for bun cha party,Food
bought book from supermarket,Shopping
new glasses shopping,Shopping
bought textbook,Study
bought bun bo hue for lunch,Food
drank sashimi with family,Food
metro booking to station,Transport
water bill,Others
bought pencil,Study
bought americano with friends,Food
bought bracelet from supermarket,Shopping
newspaper subscription,Others
bus ticket,Transport
new coat shopping,Shopping
bought class,Study
new skirt shopping,Shopping
edx for python,Study
new paper shopping,Shopping
bun cha at supermarket,Food
new lotion shopping,Shopping
electric toothbrush,Shopping
pharmacy fee,Others
event ticket,Others
bought kimbap snack,Food
new glasses shopping,Shopping
bought game from store,Shopping
bought power bank from adidas,Shopping
tax bill,Others
vodka at phuc long,Food
sedan repair,Transport
plane maintenance,Transport
be service,Transport
coke at ministop,Food
enjoyed americano for lunch,Food
music school fee,Study
paid for noodles for dinner,Food
flight cleaning,Transport
event ticket,Others
car ride to mall,Transport
ielts for math,Study
music tuition,Study
drank sushi date,Food
novel for science,Study
coffee at street food,Food
barber fee,Others
bill for bun bo hue party,Food
laundry fee,Others
toeic for music,Study
petrol for flight,Transport
bought slippers from tiki,Shopping
cable bill,Others
cookie at bistro,Food
bought coursera,Study
vinasun ticket to airport,Transport
phone bill,Others
doctor fee,Others
mai linh trip to work,Transport
drank bread alone,Food
gas bill,Others
be tire change,Transport
mobile bill,Others
be trip to school,Transport
coffee at kfc,Food
bike journey to mall,Transport
bought toeic,Study
bought webinar,Study
design school fee,Study
metro fare to downtown,Transport
bought speaker from store,Shopping
bought pen from zara,Shopping
charging for train,Transport
subway rental to school,Transport
rent bill,Others
bought pencil,Study
bought bracelet from shopee,Shopping
tax bill,Others
dentist fee,Others
tv bill,Others
bought dictionary,Study
rent bill,Others
bought novel,Study
park ticket,Others
ordered burger with family,Food
webinar for programming,Study
icloud subscription,Others
plane rental to work,Transport
icloud subscription,Others
uber journey trip,Transport
bought sweater from supermarket,Shopping
insurance bill,Others
python school fee,Study
bought book from shopee,Shopping
bicycle repair and maintenance,Transport
udemy for programming,Study
paid for vodka takeout,Food
laundry fee,Others
new soap shopping,Shopping
train cleaning,Transport
new perfume shopping,Shopping
petrol for bus,Transport
cold brew at convenience store,Food
suv maintenance,Transport
metro ticket to home,Transport
insurance bill,Others
eraser for marketing,Study
toefl for art,Study
new speaker shopping,Shopping
comic for design,Study
bought blouse from store,Shopping
marketing certification fee,Study
noodles at jollibee,Food
new cable shopping,Shopping
bought pasta for breakfast,Food
phone bill,Others
new speaker shopping,Shopping
scooter booking to mall,Transport
electricity bill,Others
bought datacamp,Study
uber parking,Transport
new suitcase shopping,Shopping
bought ielts,Study
edx for science,Study
gojek ticket to work,Transport
tv bill,Others
fitness subscription,Others
new pants shopping,Shopping
ate sushi alone,Food
netflix subscription,Others
english subscription,Study
charging for uber,Transport
oil for airline,Transport
novel for english,Study
webinar on digital marketing,Study
ate ice cream with friends,Food
yoga subscription,Others
bought headphones from uniqlo,Shopping
scooter rental to school,Transport
rice at kfc,Food
pedicure fee,Others
new book shopping,Shopping
bun cha at ministop,Food
toeic for music,Study
airline journey to downtown,Transport
youtube subscription,Others
bought purse from lazada,Shopping
fitness subscription,Others
plane toll,Transport
youtube subscription,Others
new beanie shopping,Shopping
new necklace shopping,Shopping
programming printing,Study
gym subscription,Others
ielts for design,Study
bought socks from shop,Shopping
charging for car,Transport
apple music subscription,Others
bike tire change,Transport
paid for milk date,Food
data science subscription,Study
bought paper from amazon,Shopping
new slippers shopping,Shopping
programming exam fee,Study
ate milk for breakfast,Food
bought toeic,Study
bill for pizza party,Food
google drive subscription,Others
python school fee,Study
night bus ticket,Transport
bought charger from supermarket,Shopping
ordered sushi meeting,Food
gas for car,Transport
bus service,Transport
bought duolingo,Study
music tuition,Study
google drive subscription,Others
bought journal,Study
drank soda delivery,Food
design exam fee,Study
game ticket,Others
game ticket,Others
ate steak party,Food
bought boba tea delivery,Food
new glasses shopping,Shopping
motorbike trip to mall,Transport
petrol for grab,Transport
sneakers from adidas store,Shopping
python tuition,Study
vinasun cleaning,Transport
wifi bill,Others
loan bill,Others
motorbike ride to mall,Transport
new shorts shopping,Shopping
steak at 7-eleven,Food
new earrings shopping,Shopping
mai linh repair,Transport
bought headphones from tiki,Shopping
magazine subscription,Others
science exam fee,Study
paid for vegetables meeting,Food
ielts for music,Study
google drive subscription,Others
vinasun wash,Transport
bike rental to station,Transport
bought cable from lazada,Shopping
bought duolingo,Study
dictionary for science,Study
fuel for flight,Transport
tax bill,Others
sedan booking to airport,Transport
bought heels from store,Shopping
mortgage bill,Others
smoothie at food court,Food
insurance bill,Others
bought slippers from tiki,Shopping
new boots shopping,Shopping
bought mouse from chanel,Shopping
had beer party,Food
new pants shopping,Shopping
metro journey trip,Transport
backpack for daily use,Shopping
bought book from shop,Shopping
flight ticket to office,Transport
cinema ticket,Others
calculator for science,Study
bought wallet from store,Shopping
cinema ticket,Others
had tempura with friends,Food
bike tire change,Transport
student organization fee,Study
bought tie from zara,Shopping
data science certification fee,Study
wifi bill,Others
drank cold brew meeting,Food
bought tablet from lazada,Shopping
paid for steak party,Food
petrol for flight,Transport
icloud subscription,Others
vinasun maintenance,Transport
bought duolingo,Study
phone bill,Others
calculator for data science,Study
fuel for grab,Transport
bought cocktail alone,Food
new cream shopping,Shopping
mortgage bill,Others
eraser for data science,Study
bought necklace from tiki,Shopping
bill for steak snack,Food
new blouse shopping,Shopping
bill for cocktail for lunch,Food
fuel for scooter,Transport
new heels shopping,Shopping
bought cologne from tiki,Shopping
tempura at bistro,Food
comic for business,Study
drank banh cuon party,Food
donut at kfc,Food
doctor fee,Others
phone bill,Others
bought watch from store,Shopping
coding membership,Study
journal for python,Study
had boba tea party,Food
bought book,Study
new jeans shopping,Shopping
bought beanie from lazada,Shopping
milk at winmart,Food
match ticket,Others
new shampoo shopping,Shopping
bought pen from gucci,Shopping
business test fee,Study
haircut fee,Others
nike shoes,Shopping
bought datacamp,Study
udemy for design,Study
bought conditioner from mall,Shopping
billiards ticket,Others
coursera for design,Study
office 365 subscription,Others
paid for dim sum with family,Food
repair fee,Others
billiards ticket,Others
new luggage shopping,Shopping
bought gloves from uniqlo,Shopping
bike journey to office,Transport
design tuition,Study
vinasun tire change,Transport
science photocopy,Study
spa fee,Others
gas for sedan,Transport
tv bill,Others
ate seafood for lunch,Food
burger at street food,Food
gym subscription,Others
netflix subscription,Others
bought cable from market,Shopping
bought watch from tiki,Shopping
drank fried chicken for dinner,Food
ate vegetables alone,Food
show ticket,Others
sedan fare to school,Transport
bought blouse from market,Shopping
apple music subscription,Others
apple music subscription,Others
new sweater shopping,Shopping
hospital fee,Others
event ticket,Others
latte at subway,Food
dumplings at winmart,Food
youtube subscription,Others
doctor fee,Others
ate bun cha delivery,Food
rent bill,Others
drank coffee date,Food
fuel for gojek,Transport
bought notebook,Study
paid for pasta for dinner,Food
toefl for data science,Study
car booking to home,Transport
bus journey to station,Transport
diesel for cab,Transport
yoga subscription,Others
enjoyed bagel for dinner,Food
bought jeans from lazada,Shopping
bike ticket to school,Transport
enjoyed meat meeting,Food
bought flower from nike,Shopping
adobe subscription,Others
cable bill,Others
textbook for business,Study
art school fee,Study
bought deodorant from chanel,Shopping
bought speaker from market,Shopping
museum ticket,Others
xoi at pizza hut,Food
datacamp for programming,Study
office 365 subscription,Others
design tuition,Study
class for math,Study
oil for mai linh,Transport
bill for cappuccino for breakfast,Food
coding certification fee,Study
movie ticket,Others
diesel for uber,Transport
tv bill,Others
new phone shopping,Shopping
paid for tteokbokki party,Food
maintenance fee,Others
bought slippers from chanel,Shopping
ordered rice with family,Food
design photocopy,Study
bought power bank from h&m,Shopping
yoga subscription,Others
new socks shopping,Shopping
petrol for be,Transport
bought seminar,Study
bought marker,Study
concert ticket,Others
bike ride to office,Transport
karaoke ticket,Others
design printing,Study
gojek oil change,Transport
subway journey to airport,Transport
internet bill,Others
museum ticket,Others
